lines_of_code,cyclomatic_complexity,number_of_functions,number_of_parameters,nested_depth,if_statement_count,loop_count,imports_count,dependency_count,duplicate_code_score,exception_handling_count,database_queries,external_api_calls,cpu_usage,memory_usage,average_response_time,test_coverage,historical_bug_count,api_failure
3106,22,65,56,6,15,18,13,13,0.554,14,18,0,92.31,1056.21,3283.94,95.36,38,0
4600,51,85,49,2,37,29,41,6,0.32,2,1,13,9.79,852.57,690.34,74.06,49,0
2095,48,49,195,6,9,13,12,3,0.331,7,5,1,56.05,499.78,4062.2,89.11,32,0
733,21,1,177,11,41,12,40,25,0.225,17,10,11,75.25,620.79,4641.16,36.09,27,1
1082,22,10,36,4,36,19,2,4,0.5,10,22,2,77.52,893.65,1321.29,48.41,24,0
1996,30,47,45,8,25,25,8,19,0.289,6,24,6,19.64,729.86,724.83,93.02,13,0
1316,25,59,169,11,27,26,42,15,0.665,18,20,11,38.75,801.26,1619.15,45.96,19,0
145,28,96,14,9,11,24,9,2,0.77,6,3,8,59.67,1514.64,4162.92,67.21,38,0
4652,65,62,160,9,19,8,8,16,0.748,1,0,11,30.69,371.45,883.72,70.48,19,1
3616,45,86,79,8,48,11,3,12,0.131,5,10,4,62.88,1297.28,3898.94,83.71,6,0
3303,68,18,138,3,13,9,9,5,0.011,4,15,3,36.61,1399.17,3584.15,97.52,3,0
1623,7,46,147,10,45,5,13,25,0.351,13,5,12,33.98,1649.01,3260.32,33.49,30,0
86,49,32,23,11,34,33,9,4,0.583,17,10,1,11.16,1740.21,2172.25,24.75,29,0
252,9,27,124,11,28,18,31,15,0.782,3,7,13,4.69,351.87,1840.18,7.77,36,0
2176,36,92,191,4,11,5,25,10,0.627,3,19,12,79.52,310.73,435.44,85.65,20,0
1189,1,18,117,1,51,1,44,16,0.464,12,0,11,47.02,1271.38,1793.21,29.27,0,0
2178,10,39,79,9,17,14,45,4,0.021,0,13,13,53.91,1557.94,3013.19,4.96,2,0
4226,36,49,93,5,43,16,8,5,0.66,19,20,6,35.99,581.01,4492.06,86.53,12,0
1513,73,93,64,6,1,15,47,9,0.142,4,20,5,13.85,1092.11,4167.29,50.99,6,0
4738,46,82,87,3,1,27,31,20,0.044,2,1,11,43.26,1588.83,170.76,83.83,5,0
4027,32,44,87,11,58,20,45,0,0.68,18,5,11,22.52,1579.29,702.93,55.45,5,0
2492,32,72,144,10,16,7,45,29,0.453,12,8,6,79.74,1350.1,4243.96,31.37,33,1
2680,6,54,125,8,9,9,31,20,0.103,6,13,7,93.76,190.84,4697.2,12.98,31,0
2759,48,95,88,7,17,9,17,9,0.309,9,21,8,84.58,134.1,288.49,43.72,15,0
1781,38,34,60,1,21,9,47,16,0.068,2,7,9,50.66,815.11,3509.25,2.65,37,0
3534,17,71,14,10,18,8,19,26,0.51,1,2,4,60.04,85.8,1835.01,60.25,7,0
1995,74,36,93,5,57,27,3,2,0.226,6,9,10,90.12,1854.75,1827.81,42.77,20,1
2382,27,18,50,10,52,23,46,27,0.693,8,17,4,51.64,72.61,3216.92,14.15,10,1
896,54,38,26,9,0,18,30,28,0.286,11,19,3,61.03,91.7,4052.98,53.02,49,0
3832,50,59,73,11,23,32,10,1,0.396,9,8,10,60.15,365.3,1381.44,80.09,22,0
3468,35,9,60,6,35,3,49,28,0.051,18,8,2,67.56,1296.06,3529.72,97.48,5,0
1332,25,73,185,8,24,2,29,16,0.22,12,18,12,61.19,1123.77,3183.02,52.74,45,0
1480,28,72,30,10,35,11,40,3,0.541,9,12,6,64.05,1361.53,2591.43,12.96,14,0
2729,15,51,11,1,30,17,18,1,0.589,4,0,12,69.23,1833.41,3016.1,81.07,10,0
2344,4,35,45,10,30,22,12,4,0.194,14,16,12,77.06,949.17,100.09,69.58,26,0
1753,73,82,158,11,1,19,49,9,0.403,2,3,4,38.89,120.45,30.29,95.4,14,0
1625,27,5,31,7,18,5,23,0,0.654,7,3,6,71.11,1571.21,2756.69,53.52,44,1
2583,26,14,159,3,52,33,11,27,0.304,5,15,14,10.42,1668.92,2625.3,35.71,37,0
3441,19,92,180,9,11,1,9,25,0.107,18,15,1,83.36,132.57,365.96,96.28,3,0
3537,17,30,60,6,9,29,24,0,0.345,16,14,8,28.26,521.58,2465.21,53.84,13,0
2417,43,4,45,5,30,8,25,26,0.481,9,5,8,38.93,1585.52,3790.07,1.59,44,1
3755,41,39,84,8,44,26,25,25,0.006,0,4,12,76.54,790.33,2710.6,47.37,9,0
2890,42,84,79,8,21,33,47,3,0.279,12,21,8,60.88,984.87,2592.9,0.24,28,0
1180,50,64,134,3,22,39,9,6,0.486,9,9,12,30.01,1691.52,3592.36,73.77,11,0
4874,40,25,3,2,51,23,12,13,0.762,11,6,12,22.19,222.75,867.5,56.59,39,0
262,39,28,51,2,22,16,11,13,0.327,1,6,4,91.03,1397.41,2292.83,10.98,19,0
2610,23,76,158,5,14,28,49,17,0.13,9,9,13,9.25,465.41,748.76,81.3,36,0
1083,52,66,111,10,25,35,38,1,0.427,0,9,9,1.41,158.31,2623.96,53.64,1,0
4344,47,78,35,7,2,11,28,0,0.229,0,24,11,64.26,1367.6,2963.79,11.41,19,0
2615,63,22,181,8,22,30,8,20,0.172,19,14,8,58.76,276.77,617.15,16.0,11,1
939,69,31,53,10,19,8,10,21,0.472,14,5,0,70.34,1537.97,386.82,82.21,37,0
25,43,23,118,8,44,18,25,15,0.733,0,23,1,69.77,440.65,842.0,35.55,29,0
487,48,48,126,8,39,16,47,28,0.668,8,1,9,82.15,129.8,2935.82,82.11,46,0
4190,34,20,16,10,56,1,36,21,0.146,6,7,4,87.68,232.18,956.2,6.95,17,1
23,40,38,74,11,38,39,43,17,0.613,15,24,4,73.85,1728.0,1383.46,24.39,49,1
665,75,55,157,3,55,4,9,15,0.184,15,19,5,22.84,779.87,3515.7,76.46,9,0
137,61,68,104,11,7,38,41,27,0.233,12,14,13,44.57,641.37,1249.24,64.17,6,0
2948,50,79,149,2,17,15,8,27,0.736,9,20,7,61.32,1022.26,1993.66,30.68,41,0
2571,67,88,116,4,40,16,3,22,0.729,17,20,11,51.7,1307.99,4644.94,93.6,4,0
4309,62,89,42,1,5,26,18,21,0.135,8,17,0,15.94,106.8,4126.73,21.11,47,1
866,58,1,111,3,26,6,46,23,0.051,11,4,9,56.39,1842.75,1284.81,84.98,28,1
2782,33,7,114,11,35,7,35,5,0.234,12,24,11,84.33,1964.3,2991.9,69.57,34,1
1161,75,57,26,9,14,7,17,24,0.465,10,3,8,40.34,873.29,3332.36,12.11,38,1
1830,16,95,36,7,36,22,36,9,0.702,14,9,3,63.88,863.86,4502.21,55.51,11,0
743,48,12,45,7,57,31,28,1,0.095,9,18,7,58.9,1803.18,2741.86,92.99,9,0
244,10,5,112,1,4,17,15,6,0.332,9,13,11,36.44,897.49,2810.82,61.89,36,0
4647,38,50,34,7,38,37,19,20,0.217,8,22,14,54.14,1758.08,4443.35,52.88,1,0
4228,19,42,131,10,8,11,22,16,0.012,2,23,12,20.76,89.13,281.36,36.63,2,0
4674,36,12,79,7,6,14,6,2,0.631,15,12,11,52.33,1019.14,3144.43,78.88,13,0
2068,59,18,79,4,40,27,47,19,0.651,11,9,4,76.09,1952.1,2089.08,91.31,46,1
4769,63,66,153,7,19,37,7,11,0.177,16,21,0,72.34,541.65,4549.72,75.33,19,0
4435,77,74,120,8,9,30,44,1,0.121,14,5,13,34.65,568.57,4803.1,72.52,44,1
1593,46,79,146,3,25,8,48,6,0.116,2,12,8,11.54,1302.33,859.53,19.25,48,0
1848,3,94,121,10,3,7,9,16,0.371,4,20,7,76.19,1899.2,1414.53,83.4,3,0
1937,74,17,80,2,37,18,20,18,0.197,12,10,4,25.91,432.66,1374.55,4.07,25,1
4254,65,68,172,7,23,7,37,11,0.409,5,21,13,5.99,1890.05,512.13,75.74,46,1
2046,8,71,153,5,13,33,11,8,0.308,8,24,14,42.85,1368.62,2419.89,21.09,14,0
3764,51,62,149,5,40,3,2,26,0.169,18,14,10,70.51,2033.98,2570.28,48.73,8,0
921,73,41,118,5,0,30,22,13,0.601,6,1,13,77.0,1516.7,2869.16,69.52,2,0
4805,6,95,57,7,16,37,48,1,0.12,12,14,3,93.33,1378.29,3318.16,75.91,1,0
2059,39,34,62,9,44,2,36,20,0.639,4,18,7,18.8,1674.84,323.96,88.81,38,0
29,60,70,155,11,23,34,5,3,0.449,15,16,8,28.62,385.08,3116.19,28.26,40,0
280,28,45,192,8,26,18,7,27,0.666,3,19,6,58.29,1939.11,4569.91,22.43,29,0
1693,54,58,171,6,6,28,6,18,0.004,4,17,3,77.27,365.84,2280.4,99.62,36,0
2239,37,51,99,7,8,9,22,20,0.599,19,5,6,23.0,83.75,542.5,20.76,16,0
2080,9,34,170,9,42,11,10,15,0.041,18,14,5,39.53,1438.88,438.86,66.55,2,0
3733,56,44,164,11,34,29,46,21,0.76,5,16,10,39.39,404.14,1415.94,95.27,8,1
1639,59,15,65,6,57,29,40,16,0.562,3,23,11,73.66,1561.65,3765.1,89.66,7,1
340,2,78,144,1,11,17,46,1,0.256,0,21,2,23.65,1634.8,1312.39,44.33,8,0
1362,61,70,167,4,20,23,46,16,0.256,16,8,9,92.06,509.19,4073.51,63.76,16,0
2396,58,50,165,8,2,31,20,18,0.689,8,11,2,48.98,206.83,4100.1,52.91,23,1
2852,60,32,84,7,14,8,28,7,0.722,15,21,0,27.51,1041.66,2290.99,34.67,7,1
2844,40,67,188,3,20,23,23,23,0.713,1,22,13,27.72,1826.68,1510.94,14.44,13,0
2014,36,3,136,10,9,25,35,19,0.647,10,4,12,2.72,1740.14,2992.36,80.34,15,1
2978,37,86,188,3,32,2,1,5,0.655,4,13,4,66.09,268.04,4054.55,9.04,17,0
2058,79,86,143,11,45,22,29,11,0.458,12,23,7,73.94,1977.0,332.21,60.96,48,1
3510,18,74,122,3,58,10,9,24,0.023,19,7,11,4.05,564.12,4767.58,59.44,23,0
3697,63,51,1,1,51,9,9,29,0.069,16,24,5,56.08,736.37,3233.04,33.48,38,1
1138,22,67,105,10,5,35,22,22,0.52,14,21,7,74.48,332.49,1996.76,13.54,46,0
1624,11,76,107,1,1,12,2,17,0.321,11,16,6,36.37,793.65,2535.04,79.96,26,0
4047,58,93,71,6,28,28,16,26,0.454,5,8,1,41.68,1313.45,1934.11,46.19,27,1
255,57,48,170,1,54,37,40,1,0.185,19,2,7,34.99,1052.25,2068.93,72.53,6,0
1989,77,17,125,5,39,12,6,18,0.52,12,24,3,30.67,1700.32,2982.13,1.65,33,1
4449,4,7,169,4,32,25,13,23,0.194,17,6,10,47.17,1324.86,310.6,7.45,26,0
1928,7,13,56,5,3,19,33,9,0.369,14,11,4,16.61,563.31,885.13,17.58,33,0
395,61,66,80,7,58,4,19,24,0.383,14,2,10,42.42,1155.8,1142.93,11.38,38,1
3550,54,4,194,6,3,19,15,28,0.142,7,8,12,89.53,161.41,2043.5,19.17,18,1
2655,68,10,157,9,28,13,33,29,0.701,18,13,7,3.58,1202.87,1861.58,68.65,5,1
1590,79,88,140,6,36,13,10,2,0.421,13,22,4,16.49,817.56,3613.8,4.7,29,1
2580,1,17,18,9,59,7,1,24,0.693,6,22,4,74.1,230.37,1303.31,3.79,27,0
3411,55,52,6,4,59,12,12,27,0.21,13,22,5,13.41,651.85,294.79,3.17,11,0
2985,3,6,136,1,19,23,43,11,0.138,4,17,14,26.5,1842.54,286.66,69.76,14,0
3663,78,83,53,1,40,14,29,25,0.014,14,10,14,43.75,1213.45,66.45,53.61,44,1
3870,38,69,103,10,22,0,17,15,0.075,14,3,6,89.66,1852.98,199.75,37.02,38,0
892,1,96,85,7,44,21,4,11,0.118,3,7,8,18.25,860.18,4294.72,67.56,38,0
1272,38,74,81,3,17,33,29,7,0.063,0,17,13,87.77,2005.48,3489.24,55.36,14,0
1334,29,9,60,2,48,39,7,4,0.718,16,12,10,68.54,757.8,4979.7,0.73,35,1
4840,5,91,86,6,24,2,44,10,0.729,19,3,6,64.09,1557.72,111.36,83.85,2,0
2918,74,77,1,6,0,25,13,9,0.75,0,9,5,69.01,647.69,4246.52,35.02,0,1
97,21,83,177,7,53,13,5,2,0.768,15,7,14,3.94,245.68,3483.32,39.96,6,0
2641,71,21,30,5,14,7,6,26,0.393,12,11,11,10.3,1711.44,3205.31,78.23,8,1
4247,67,24,32,8,33,15,34,22,0.424,17,18,9,32.48,1569.36,1789.1,18.71,0,1
620,47,4,79,7,47,20,7,8,0.105,9,11,3,7.95,1686.39,1889.87,1.01,4,1
1085,35,24,10,2,19,9,46,11,0.11,17,21,13,93.83,636.18,4229.35,90.88,46,0
2156,68,59,160,1,53,24,28,5,0.618,16,1,10,55.56,1450.58,3570.28,50.55,35,0
2469,69,99,127,9,36,37,46,18,0.685,8,23,9,46.81,475.36,3354.88,34.95,9,1
2363,1,3,134,5,26,21,10,15,0.628,13,7,11,74.84,54.8,162.94,81.9,1,0
1883,68,68,127,11,21,3,4,20,0.668,12,12,1,92.83,1778.84,929.75,2.63,22,1
1338,12,40,30,5,50,3,3,22,0.221,19,0,10,90.78,1087.43,4813.5,20.23,38,0
4731,60,48,175,10,4,29,25,23,0.373,19,2,12,75.55,2015.05,2277.31,15.53,28,1
3617,27,54,125,4,33,1,23,28,0.367,13,1,10,36.45,808.23,3909.15,73.78,18,0
3782,56,35,46,2,38,28,27,13,0.796,10,22,14,7.2,1961.06,1952.73,31.21,37,1
4690,23,95,180,5,2,35,14,27,0.759,12,22,8,10.25,1271.96,3823.97,77.29,46,0
2210,25,56,106,2,16,20,38,3,0.479,16,19,9,1.11,1064.61,604.87,4.15,19,0
1012,21,89,18,7,23,20,32,17,0.11,2,7,10,1.18,642.46,220.22,60.81,11,0
2732,61,40,80,11,23,20,23,9,0.207,0,2,4,89.02,1695.76,2336.22,31.82,10,1
2212,63,77,122,9,2,3,47,17,0.291,4,24,4,88.14,1702.85,2962.31,18.69,34,1
1268,52,68,133,9,44,0,40,11,0.699,12,20,10,63.75,872.53,1625.27,81.68,48,0
3074,25,46,106,11,6,25,37,18,0.137,4,14,11,69.31,1498.22,3582.86,41.23,6,0
4618,55,78,48,6,24,1,3,7,0.176,4,1,2,49.24,933.63,2484.14,57.16,22,0
4053,46,13,72,1,55,8,35,0,0.28,11,24,12,23.36,1523.15,4642.3,3.31,49,1
2017,32,27,49,6,2,17,13,13,0.742,1,16,2,86.95,2036.29,434.1,79.16,16,0
4936,55,6,80,5,14,10,34,22,0.403,15,23,0,27.1,561.19,342.18,28.69,47,1
3707,5,17,94,4,28,24,24,5,0.517,16,5,11,70.53,1310.25,4526.56,69.34,1,0
2171,36,36,11,6,49,25,1,13,0.31,4,0,10,24.07,797.83,3348.84,76.05,4,0
4038,49,99,22,6,28,35,12,1,0.151,11,3,4,82.79,1137.52,3358.88,11.71,20,0
3130,58,81,53,6,9,34,8,8,0.178,14,18,2,62.22,1794.28,147.5,29.59,12,0
1990,39,2,117,2,31,37,19,28,0.642,5,6,14,61.41,732.71,4689.0,72.34,10,0
217,61,77,196,7,22,2,9,11,0.715,12,22,10,10.15,177.93,3861.41,23.22,23,0
2646,9,52,58,4,38,34,28,4,0.394,10,21,1,40.43,1642.66,3823.93,84.82,32,0
1222,6,66,163,9,8,39,14,1,0.286,16,13,10,50.34,1150.93,4560.53,31.2,26,0
2055,35,52,2,10,36,21,27,18,0.646,8,13,8,28.64,937.99,2894.98,40.23,34,0
497,39,92,57,2,51,7,18,6,0.538,15,9,12,83.81,401.6,1979.39,9.97,17,0
1274,22,43,182,5,39,14,42,6,0.033,16,23,13,79.74,219.19,2408.59,14.77,20,0
942,41,90,56,4,13,6,41,9,0.281,19,6,9,47.4,593.93,3888.43,27.54,3,0
439,5,22,144,9,3,18,6,16,0.546,17,15,5,32.96,1481.31,3845.96,4.89,40,0
2224,42,55,166,4,19,39,33,25,0.459,12,3,2,76.34,862.13,3051.84,19.3,31,0
2617,76,67,89,8,27,16,37,13,0.782,10,6,6,19.51,1181.58,1098.22,40.89,42,1
1140,67,99,195,8,13,0,42,26,0.693,12,14,11,7.72,197.4,4096.23,38.0,48,1
3088,30,60,54,6,43,28,25,10,0.048,12,16,8,5.3,280.46,3239.74,19.87,10,0
970,57,58,44,6,33,12,13,27,0.581,11,2,8,4.64,54.79,1114.1,8.05,2,0
2356,73,12,0,11,12,28,23,19,0.269,13,15,14,46.96,1389.34,2408.42,31.81,20,1
2263,29,88,20,8,30,5,36,5,0.546,12,1,0,25.0,565.14,4986.06,74.53,42,0
2665,37,69,20,10,32,4,33,7,0.494,8,6,14,65.9,1981.32,1648.62,51.01,13,0
1877,13,84,51,9,51,33,21,18,0.402,13,24,1,62.47,653.85,591.64,94.68,5,0
4632,32,39,81,5,38,10,34,29,0.682,0,15,14,51.95,765.05,118.12,13.99,28,1
1885,46,13,170,11,27,8,36,18,0.567,8,20,7,34.17,978.49,931.32,20.73,30,1
2932,23,41,179,1,24,37,17,23,0.712,3,8,14,80.94,675.39,942.96,28.03,46,0
2873,45,57,66,1,31,39,10,23,0.225,11,11,10,67.71,1679.97,4291.76,1.3,27,1
4930,17,53,112,2,8,8,23,23,0.279,13,23,0,26.52,1798.43,789.21,94.34,42,0
3248,66,12,43,10,27,7,44,16,0.498,8,0,10,48.16,54.25,4314.63,44.54,49,1
3739,6,13,159,10,57,39,2,23,0.773,2,13,11,15.69,1351.8,442.72,48.16,35,1
3248,18,74,9,5,30,2,35,23,0.297,5,10,14,31.9,1415.15,4534.16,15.79,27,0
2391,22,97,63,4,16,12,14,17,0.026,2,17,10,94.73,1970.23,1289.2,87.27,18,0
2911,33,57,68,1,52,18,47,11,0.357,0,21,13,22.04,778.72,3061.38,69.26,2,0
3776,30,40,67,4,22,33,45,8,0.435,2,4,2,66.64,425.68,807.04,43.14,11,0
4245,32,80,27,4,12,31,41,22,0.641,13,14,10,23.41,1081.49,1956.38,87.8,35,0
114,42,45,180,10,54,15,2,23,0.583,19,6,6,89.18,934.27,437.98,90.55,23,0
2694,78,35,115,4,9,35,19,15,0.772,1,24,7,30.15,1628.13,2901.85,4.95,11,1
1975,10,3,50,1,15,17,16,17,0.626,11,13,4,33.59,1854.41,1735.93,11.93,23,0
813,36,5,180,9,5,13,43,15,0.239,9,19,13,56.82,206.8,4262.23,2.76,0,1
1854,34,90,3,3,47,29,44,15,0.513,12,7,1,56.28,1738.7,917.26,58.17,27,0
2136,73,11,78,4,10,1,25,3,0.538,19,3,14,55.43,1864.49,1407.14,21.79,15,1
4126,28,71,16,5,57,12,1,22,0.798,3,2,2,54.89,1895.06,894.5,84.49,20,0
3345,11,56,107,7,51,26,2,21,0.111,18,11,8,30.35,1572.85,2823.48,46.59,29,0
2939,78,10,194,6,2,16,48,6,0.153,0,17,14,41.83,1528.04,567.62,83.77,33,1
2617,39,34,73,5,27,30,27,0,0.124,10,23,12,56.78,62.03,954.89,55.56,25,0
3225,47,67,174,8,40,14,2,23,0.471,15,14,10,64.1,1887.11,3395.66,79.62,34,0
4827,19,72,183,1,14,19,30,28,0.108,18,10,12,24.79,740.63,381.33,37.19,30,0
834,15,31,22,7,59,4,10,22,0.525,18,23,9,66.94,114.9,3718.39,94.54,15,0
365,28,75,17,6,12,6,19,28,0.643,11,10,6,87.79,864.57,530.62,66.72,41,0
2369,24,71,128,11,41,17,42,19,0.346,2,11,12,72.25,1509.43,2931.59,59.55,28,0
382,72,66,34,5,51,10,16,0,0.449,17,18,0,8.92,922.98,4989.07,35.24,28,0
2463,9,70,63,7,55,31,13,7,0.73,16,16,2,45.1,1560.15,877.73,93.72,8,0
2285,47,41,185,3,44,26,48,25,0.456,4,5,8,41.91,1058.97,1312.82,33.77,13,0
2208,33,63,58,1,16,25,8,22,0.167,15,20,6,32.63,635.65,4493.15,83.59,7,0
3025,62,32,0,9,6,36,31,7,0.275,13,7,14,47.18,441.07,3135.17,40.43,1,1
3301,19,20,130,2,27,27,45,9,0.424,18,14,11,42.33,880.94,2467.73,76.72,10,0
1004,67,57,66,10,37,1,25,0,0.124,5,21,12,1.58,104.18,2817.9,91.19,1,0
1659,74,98,36,3,12,19,39,20,0.49,2,19,12,23.24,883.85,1484.52,46.56,46,0
847,40,50,28,8,59,3,21,24,0.799,5,9,12,21.1,170.34,4278.06,52.61,17,0
2750,47,80,88,10,16,12,38,20,0.522,11,14,13,33.83,1800.04,3728.89,33.03,4,0
3551,65,25,160,9,14,23,41,28,0.298,19,11,14,17.4,1192.17,3215.91,5.47,6,1
4471,29,12,99,3,35,37,29,13,0.265,10,10,14,7.37,1334.42,4659.4,65.25,22,0
2955,50,71,188,6,27,39,6,13,0.745,6,17,1,19.48,614.35,2894.77,11.96,18,1
3896,13,39,121,7,14,28,18,9,0.697,0,23,5,81.29,487.26,2564.27,35.41,18,0
146,1,17,89,1,45,35,49,27,0.378,15,4,8,75.92,1459.14,4878.71,34.95,47,0
3197,34,45,131,7,52,1,44,18,0.283,15,11,14,42.56,1385.88,1038.01,15.1,18,0
3076,48,11,13,4,10,17,35,24,0.568,16,23,3,83.51,279.32,718.42,66.67,48,1
623,77,70,160,5,55,7,27,28,0.252,14,4,9,22.87,513.1,819.79,17.46,44,1
3469,48,23,149,8,30,14,5,15,0.096,8,21,1,55.92,1940.3,4947.32,77.83,39,1
4166,49,91,175,4,3,16,7,8,0.248,4,9,2,14.43,645.22,3264.73,24.93,27,0
3553,64,70,130,4,34,22,10,19,0.347,19,13,6,79.34,84.08,1536.56,28.73,10,0
3387,61,38,84,8,33,1,10,15,0.204,7,15,3,13.27,160.58,1252.4,34.37,49,1
3388,29,2,150,5,51,5,28,19,0.173,0,4,6,3.99,1595.4,292.63,15.28,10,0
3817,39,86,195,6,26,28,36,26,0.005,6,10,4,26.7,1558.43,668.42,43.43,8,0
1812,26,84,20,11,9,26,10,7,0.505,10,18,13,85.69,801.76,4541.78,8.03,13,0
2881,17,89,170,5,29,36,35,6,0.492,19,7,7,13.17,340.85,3739.23,42.71,33,0
3496,71,79,25,1,44,33,35,10,0.15,12,18,7,32.08,1036.18,4708.38,33.99,28,1
3437,13,93,40,7,19,17,37,20,0.755,12,19,4,30.74,701.09,2124.42,33.83,48,0
1665,69,72,121,6,28,9,48,5,0.328,6,21,6,76.35,785.92,3010.17,66.07,20,0
1225,26,37,37,2,57,37,20,14,0.02,10,17,10,40.62,558.15,2423.52,76.9,47,0
3050,49,49,87,11,52,16,13,18,0.176,17,22,5,58.49,158.72,4408.11,35.6,4,0
2892,67,52,10,7,28,12,11,13,0.554,0,20,12,39.01,1626.98,4957.0,26.2,32,1
3092,7,33,28,6,22,26,45,14,0.161,11,11,7,52.84,1278.33,4664.55,49.43,8,0
1874,58,22,59,5,56,1,19,5,0.043,2,12,8,6.87,1714.62,2994.3,78.77,2,0
4041,49,5,194,8,49,33,28,28,0.494,0,20,4,36.16,1046.46,318.39,64.46,13,1
4682,53,18,192,5,20,30,38,23,0.415,3,20,6,81.38,2017.73,3091.46,3.8,17,1
2728,65,38,60,11,47,22,45,9,0.609,5,17,13,65.96,1972.45,494.27,47.99,11,1
3522,62,37,146,2,42,6,4,13,0.618,4,14,0,93.29,579.92,702.72,99.1,22,0
1352,17,94,173,6,9,37,37,15,0.768,10,14,10,75.06,812.15,964.81,35.31,13,0
221,43,95,176,1,40,32,19,12,0.046,19,11,7,43.44,1549.46,1823.83,44.07,15,0
3527,25,64,21,5,11,11,37,10,0.031,12,8,2,64.57,1597.63,2963.01,28.74,36,0
4232,3,10,77,6,29,11,14,24,0.79,10,18,0,73.94,1867.97,1674.43,49.77,19,0
594,79,79,112,7,50,18,31,2,0.516,5,11,5,26.35,1347.71,2266.81,16.09,19,1
556,29,42,184,2,32,8,28,7,0.572,18,22,13,6.64,989.84,245.97,24.7,14,0
1645,32,48,122,1,17,9,36,27,0.077,14,4,12,39.15,793.35,3102.59,71.17,40,0
2142,26,44,141,6,13,16,44,2,0.056,12,20,7,14.6,877.06,3288.59,13.83,24,0
405,16,82,43,3,21,39,38,1,0.128,9,19,10,27.06,1746.42,505.96,92.61,16,0
3301,25,87,143,5,20,38,19,20,0.342,0,9,2,90.0,2007.7,3927.73,30.8,11,0
494,54,97,96,11,0,9,42,13,0.088,12,21,0,80.63,136.65,3240.82,57.5,44,0
437,28,16,76,2,48,11,1,19,0.357,5,6,2,56.69,1201.77,2453.75,32.18,41,0
3620,73,54,139,1,42,14,23,28,0.449,19,22,14,38.72,1080.43,2768.77,47.8,38,1
974,56,35,54,1,51,30,28,20,0.0,11,10,4,25.85,790.3,2520.2,90.38,6,0
4991,65,98,50,11,59,14,48,21,0.091,16,7,10,54.72,1748.78,278.43,6.86,7,1
4878,41,28,101,4,14,27,4,14,0.3,17,20,7,51.12,1192.7,3678.4,85.63,23,0
1225,51,2,166,10,35,3,41,2,0.043,7,6,8,74.39,663.24,2563.94,55.76,46,1
4779,71,94,160,2,46,35,18,0,0.107,13,15,12,88.23,927.31,872.39,66.51,24,0
4140,78,13,160,1,53,0,49,14,0.185,4,15,11,31.92,751.32,3406.85,5.59,20,1
2010,29,41,28,6,21,33,47,19,0.344,1,13,8,20.39,899.05,3478.38,76.14,49,0
4825,19,80,68,4,31,16,39,21,0.572,10,14,3,38.86,175.67,1075.34,12.78,32,0
3592,66,59,197,10,57,38,25,1,0.106,2,19,7,42.13,257.62,3984.51,96.48,9,0
4400,41,69,158,7,45,37,18,17,0.59,15,8,10,4.75,1289.36,2287.96,79.93,21,0
4178,45,92,79,11,53,32,6,0,0.684,15,15,4,82.0,1411.08,911.24,49.29,18,1
4777,15,53,30,6,32,20,19,8,0.521,8,15,2,94.59,1315.43,3291.52,92.42,28,0
2733,3,45,111,5,57,25,12,2,0.035,12,4,4,87.78,1570.36,2987.67,16.91,2,0
2223,11,20,45,10,40,35,25,1,0.353,9,2,1,81.9,1934.16,860.33,99.17,38,0
3140,53,24,96,2,58,4,35,3,0.528,16,20,10,94.3,1767.01,4363.02,71.68,3,1
986,46,61,51,5,38,32,1,15,0.783,16,24,10,86.33,875.72,4274.13,9.84,36,1
4964,30,91,137,9,22,0,5,21,0.761,9,12,10,65.71,470.57,4182.86,53.66,30,1
3452,57,94,73,9,42,5,1,0,0.317,7,7,5,16.68,660.69,2002.15,71.09,5,0
708,18,58,40,2,54,36,8,8,0.493,6,16,0,15.7,1216.89,4124.87,61.3,27,0
4263,51,27,76,7,1,1,39,24,0.713,13,4,5,5.59,1758.12,4225.53,42.39,9,1
3721,48,26,130,10,1,4,47,7,0.665,17,5,12,39.71,1446.68,4982.74,24.81,11,1
361,66,7,186,4,37,25,43,5,0.384,18,1,4,77.03,1126.71,4788.45,23.82,45,1
1744,8,42,113,3,54,12,18,19,0.209,17,21,12,47.09,1245.39,1920.41,92.7,1,0
4442,22,47,51,11,50,11,46,17,0.11,13,13,8,35.43,1096.97,999.04,23.47,2,0
1812,6,53,161,1,28,4,9,15,0.39,9,24,12,11.27,1990.8,1469.39,96.24,0,0
1779,76,59,176,3,51,1,5,7,0.578,0,3,13,5.86,1677.24,2478.96,21.02,34,1
3232,57,38,155,11,45,3,4,22,0.776,8,2,6,38.52,1607.05,4029.23,38.43,23,1
1009,36,69,86,9,59,26,44,27,0.689,17,8,5,10.39,1074.94,3617.69,1.23,46,1
2282,79,87,108,9,2,9,29,29,0.163,12,17,14,10.73,700.93,3940.69,90.31,47,0
2502,57,92,140,7,38,12,1,3,0.576,16,11,10,38.16,71.34,1905.83,10.44,33,1
971,49,98,68,3,6,1,30,2,0.231,15,8,11,48.27,119.55,1242.05,35.73,19,0
742,45,53,119,3,35,25,45,14,0.547,10,17,6,18.55,92.96,130.41,84.25,15,0
3409,66,15,66,4,28,14,1,5,0.533,8,12,9,65.36,2008.64,3134.66,79.19,29,1
